id,release_year,main_genre,director,vote_average,vote_count,profit
4922,2008,Fantasy,David Fincher,7.3,3292,183932083
49538,2011,Action,Matthew Vaughn,7.1,5181,193624124
131634,2015,Action,Francis Lawrence,6.6,3984,493428261
27022,2010,Fantasy,Jon Turteltaub,5.8,1470,65283742
503,2006,Adventure,Wolfgang Petersen,5.5,583,21674817
241259,2016,Fantasy,James Bobin,6.5,1725,129370084
810,2007,Fantasy,Chris Miller,6.0,2278,638958165
68735,2016,Action,Duncan Jones,6.3,2268,273677183
87101,2015,Science Fiction,Alan Taylor,5.8,3631,285603537
10140,2010,Adventure,Michael Apted,6.2,1514,260686217
676,2001,History,Michael Bay,6.6,1791,309220945
1858,2007,Adventure,Michael Bay,6.6,4040,559709780
1966,2004,War,Oliver Stone,5.6,927,12298192
675,2007,Adventure,David Yates,7.4,5494,788212738
674,2005,Adventure,Mike Newell,7.5,5608,745921036
8960,2008,Fantasy,Peter Berg,6.2,2961,474029371
6479,2007,Drama,Francis Lawrence,6.9,4853,435349010
118,2005,Adventure,Tim Burton,6.7,3624,324968763
2062,2007,Animation,Jan Pinkava,7.5,4369,473722818
272,2005,Action,Christopher Nolan,7.5,7359,224218673
10527,2008,Family,Eric Darnell,6.2,1810,453900354
18360,2009,Adventure,Shawn Levy,5.9,1971,263106170
2080,2009,Adventure,Gavin Hood,6.2,4021,223062864
605,2003,Adventure,Lilly Wachowski,6.4,3096,274988211
109445,2013,Animation,Chris Buck,7.3,5295,1124219009
604,2003,Adventure,Lilly Wachowski,6.7,3443,588599701
76338,2013,Action,Alan Taylor,6.8,4755,474571402
76341,2015,Action,George Miller,7.2,9427,228858340
13448,2009,Thriller,Ron Howard,6.5,2129,206613439
10195,2011,Adventure,Kenneth Branagh,6.6,6525,299326618
13053,2008,Animation,Chris Williams,6.3,1750,159979994
19585,2009,Fantasy,Hoyt Yeatman,5.1,510,142817841
57165,2012,Adventure,Jonathan Liebesman,5.5,1431,151000000
62213,2012,Comedy,Tim Burton,5.7,2320,95527149
177677,2015,Action,Christopher McQuarrie,7.1,3224,532330139
7978,2010,Drama,Joe Johnston,5.5,549,-150000000
5559,2007,Family,Steve Hickner,5.7,1171,137594577
49444,2011,Animation,Jennifer Yuh Nelson,6.7,1880,515692281
10196,2010,Action,M. Night Shyamalan,4.7,1151,168502923
956,2006,Adventure,J.J. Abrams,6.5,2028,247850012
117251,2013,Action,Roland Emmerich,6.4,1891,55366737
50321,2011,Adventure,Simon Wells,5.5,199,-111007242
11619,2006,Adventure,David Bowers,6.0,874,-84540684
266647,2015,Adventure,Joe Wright,5.9,954,-21611680
82703,2014,Animation,Rob Minkoff,6.7,843,127912430
652,2004,Adventure,Wolfgang Petersen,6.9,2759,322409852
80321,2012,Animation,Conrad Vernon,6.4,1808,601921274
36669,2002,Adventure,Lee Tamahori,5.8,1092,291971116
43074,2016,Action,Paul Feig,5.3,2142,85147509
95,1998,Action,Michael Bay,6.4,2482,413799566
608,2002,Action,Barry Sonnenfeld,6.0,3114,301818803
2310,2007,Adventure,Robert Zemeckis,5.5,841,125735876
140300,2016,Action,Jennifer Yuh Nelson,6.7,1603,376170825
56292,2011,Action,Brad Bird,6.8,3972,549713380
81188,2012,Fantasy,Peter Ramsey,7.1,1922,161941670
7552,2005,Comedy,Dean Parisot,5.9,627,102026112
616,2003,Drama,Edward Zwick,7.3,1895,316758981
147441,2014,Adventure,Ridley Scott,5.6,1921,128031828
13475,2009,Science Fiction,J.J. Abrams,7.4,4518,235680446
557,2002,Fantasy,Sam Raimi,6.8,5265,682708551
82702,2014,Fantasy,Dean DeBlois,7.6,3106,464123048
205584,2016,Fantasy,Alex Proyas,5.3,1277,10680864
10048,2005,Action,Rob Cohen,4.9,331,-58067057
13183,2009,Action,Zack Snyder,7.0,2811,55258983
944,1998,Action,Richard Donner,6.3,767,145444603
1927,2003,Drama,Ang Lee,5.3,1533,108360480
72559,2013,Adventure,Jon M. Chu,5.4,3025,241876278
7364,2005,Action,Breck Eisner,5.7,434,-10730514
2114,2001,Adventure,Hironobu Sakaguchi,5.9,433,-51868170
1771,2011,Action,Joe Johnston,6.6,7047,230569774
36643,1999,Adventure,Michael Apted,6.0,862,226832400
8619,2003,Adventure,Peter Weir,6.9,790,62011111
50620,2012,Adventure,Bill Condon,6.1,2553,709000000
65759,2011,Animation,George Miller,5.8,373,20406466
1724,2008,Science Fiction,Louis Leterrier,6.1,3021,13712074
267935,2016,Adventure,Steven Spielberg,6.0,1000,43345589
281957,2015,Western,Alejandro González Iñárritu,7.3,6396,397950503
77950,2013,Animation,David Soren,6.1,1074,147570682
44896,2011,Animation,Gore Verbinski,6.6,2051,110724603
270946,2014,Family,Eric Darnell,6.5,1346,241552094
2503,2007,Action,Paul Greengrass,7.3,2888,372824138
9502,2008,Adventure,Mark Osborne,6.9,3145,501744560
102899,2015,Science Fiction,Peyton Reed,7.0,5880,389311965
101299,2013,Adventure,Francis Lawrence,7.4,6495,717423452
228161,2015,Fantasy,Tim Johnson,6.8,1519,233871007
74,2005,Adventure,Steven Spielberg,6.2,2322,459739379
8961,2003,Adventure,Michael Bay,6.3,1564,143339556
417859,2011,Action,Chris Miller,6.4,451,424987477
27576,2010,Action,Phillip Noyce,6.2,2093,183329073
86834,2014,Drama,Darren Aronofsky,5.6,2350,237637473
17578,2011,Adventure,Steven Spielberg,6.7,2061,241940071
673,2004,Adventure,Alfonso Cuarón,7.7,5877,659804554
6972,2008,Drama,Baz Luhrmann,6.3,694,-80445998
82700,2013,Science Fiction,M. Night Shyamalan,5.0,2532,113843127
10567,2000,Animation,Ralph Zondag,6.2,542,226748063
181533,2014,Adventure,Shawn Levy,6.1,1851,222424282
38055,2010,Animation,Tom McGrath,6.7,1918,191887208
671,2001,Adventure,Chris Columbus,7.5,7006,851475550
49524,2013,Fantasy,Robert Schwentke,5.4,1260,-68351500
22,2003,Adventure,Gore Verbinski,7.5,6985,515011224
131631,2014,Science Fiction,Francis Lawrence,6.6,5584,627100229
591,2006,Thriller,Ron Howard,6.5,2704,642820459
172385,2014,Animation,Carlos Saldanha,6.3,978,397188435
36658,2003,Adventure,Bryan Singer,6.8,3506,297711549
51497,2011,Action,Justin Lin,7.1,2438,501137675
58574,2011,Adventure,Guy Ritchie,7.0,3886,209615000
18823,2010,Adventure,Louis Leterrier,5.6,2233,107713139
861,1990,Action,Paul Verhoeven,7.1,1710,196317921
1911,1999,Adventure,John McTiernan,6.4,510,-98301101
49040,2012,Action,Tony Gilroy,6.0,2651,146572938
415,1997,Action,Joel Schumacher,4.2,1418,113207122
8871,2000,Family,Ron Howard,6.2,1386,222141403
435,2004,Action,Roland Emmerich,6.2,2392,419272402
955,2000,Adventure,John Woo,5.9,1928,421388105
2133,2000,Drama,Wolfgang Petersen,6.2,597,205756637
1979,2007,Adventure,Tim Story,5.4,2589,159047763
87827,2012,Adventure,Ang Lee,7.2,5797,489016565
1250,2007,Thriller,Mark Steven Johnson,5.2,1712,118738393
324668,2016,Action,Paul Greengrass,5.9,2341,295484914
9471,2003,Action,McG,5.2,914,139175788
70981,2012,Science Fiction,Ridley Scott,6.3,5080,273170142
10996,2002,Family,Rob Minkoff,5.4,613,49956806
68724,2013,Science Fiction,Neill Blomkamp,6.4,3439,171140700
2789,2004,Action,David Twohy,6.3,1570,10772733
97020,2014,Action,José Padilha,5.7,2342,122688965
7459,2008,Action,Lilly Wachowski,5.7,354,-26054234
42888,2010,Comedy,James L. Brooks,4.9,223,-71331093
37834,2010,Action,James Mangold,5.9,1547,144930431
75612,2013,Action,Joseph Kosinski,6.4,4800,166168572
1895,2005,Science Fiction,George Lucas,7.1,4116,737000000
1894,2002,Adventure,George Lucas,6.4,3992,529398328
585,2001,Animation,Pete Docter,7.5,5996,447816256
76170,2013,Action,James Mangold,6.3,4053,295440673
1893,1999,Adventure,George Lucas,6.3,4432,809317558
49519,2013,Adventure,Chris Sanders,6.8,2399,450178928
2395,2008,Fantasy,Thomas Langmann,5.0,471,35649600
12100,2002,Drama,John Woo,5.8,341,-37371735
290595,2016,Action,Cedric Nicolas-Troyan,6.0,1523,49602163
98566,2014,Science Fiction,Jonathan Liebesman,5.8,2636,352200000
49047,2013,Science Fiction,Alfonso Cuarón,7.3,5751,611392705
9619,1997,Action,Roger Donaldson,5.7,428,62127760
308531,2016,Fantasy,Dave Green,5.8,963,110623848
166424,2015,Action,Josh Trank,4.4,2278,47977596
1593,2006,Action,Shawn Levy,6.3,2862,464480841
254128,2015,Action,Brad Peyton,6.0,2968,360490832
714,1997,Adventure,Roger Spottiswoode,6.0,925,223011068
2024,2000,Drama,Roland Emmerich,6.8,1099,105294342
163,2004,Thriller,Steven Soderbergh,6.4,2124,252744280
787,2005,Action,Doug Liman,6.5,2965,368207520
262500,2015,Adventure,Robert Schwentke,6.2,3829,185238201
2567,2004,Drama,Martin Scorsese,7.0,1489,-14000000
38745,2010,Comedy,Rob Letterman,4.9,621,125382724
40805,2011,Action,Michel Gondry,5.5,1251,107817248
53182,2014,Action,Noam Murro,6.1,2397,227580051
41513,2011,Animation,Raja Gosnell,5.5,1179,453749323
13700,2004,Animation,Will Finn,5.7,389,-6048539
262504,2016,Adventure,Robert Schwentke,5.9,1998,69246868
39254,2011,Action,Shawn Levy,6.6,2692,189268508
77931,2013,Fantasy,Raja Gosnell,5.5,695,242434178
1639,1997,Action,Jan de Bont,4.1,434,4508066
80274,2013,Science Fiction,Gavin Hood,6.6,2303,15537191
1571,2007,Action,Len Wiseman,6.4,2089,273531464
120,2001,Adventure,Peter Jackson,8.0,8705,778368364
10204,2004,Action,Frank Coraci,5.7,672,-37821105
8489,2001,Drama,Michael Mann,6.7,447,-19286175
10588,2003,Comedy,Bo Welch,4.9,366,0
2048,2004,Action,Alex Proyas,6.7,3793,227234916
1495,2005,Drama,Ridley Scott,6.6,1157,81643158
10137,1999,Animation,Rob Minkoff,5.8,959,167135367
10198,2009,Romance,Ron Clements,6.7,1247,162045765
286217,2015,Drama,Ridley Scott,7.6,7268,522161890
1635,2005,Action,Michael Bay,6.5,1770,36949164
24113,2001,Comedy,Peter Chelsom,3.7,16,-79627709
9679,2000,Action,Dominic Sena,6.1,1485,147202299
98,2000,Action,Ridley Scott,7.9,5439,354640427
180,2002,Action,Steven Spielberg,7.1,2608,256372926
672,2002,Adventure,Chris Columbus,7.4,5815,776688482
36557,2006,Adventure,Martin Campbell,7.3,3855,449045960
869,2001,Thriller,Tim Burton,5.6,1243,262211740
280,1991,Action,James Cameron,7.7,4185,420000000
11322,2009,History,Michael Mann,6.5,1344,134104620
4982,2007,Drama,Ridley Scott,7.4,1502,166465037
36955,1994,Action,James Cameron,6.8,1116,263882411
18487,2009,Thriller,Tony Scott,6.2,954,50166126
39451,2010,Comedy,Paul Weitz,5.4,1060,210650585
27581,2010,Action,Adam McKay,6.1,1383,70432927
9268,1996,Action,Chuck Russell,5.6,543,142295562
68718,2012,Drama,Quentin Tarantino,7.8,10099,325368238
10545,1996,Drama,Gary Trousdale,6.8,1129,138851
11688,2000,Adventure,Mark Dindal,7.2,1490,69327687
76163,2012,Action,Simon West,6.1,2896,212573423
2059,2004,Adventure,Jon Turteltaub,6.4,1926,247451894
2486,2006,Fantasy,Stefen Fangmeier,4.9,967,149288105
16523,2009,Family,Spike Jonze,6.4,572,86793
116711,2013,Animation,Chris Wedge,6.4,1121,168426634
37710,2010,Action,Florian Henckel von Donnersmarck,6.0,1699,178731369
9946,1999,Action,Peter Hyams,5.5,482,111989043
1372,2006,Drama,Edward Zwick,7.3,2281,70877916
106646,2013,Crime,Martin Scorsese,7.9,6571,292000694
414,1995,Action,Joel Schumacher,5.2,1498,236529144
563,1997,Adventure,Paul Verhoeven,6.7,1560,16214377
83542,2012,Drama,Tom Tykwer,6.6,2977,28482868
41216,2010,Animation,Zack Snyder,6.5,703,60073390
314,2004,Action,Pitof,4.2,808,-17897621
184315,2014,Action,Brett Ratner,5.6,1680,143400000
9016,2002,Adventure,Ron Clements,7.2,948,-30421885
18162,2009,Adventure,Brad Silberling,5.3,381,-31311169
138103,2014,Action,Patrick Hughes,6.1,1795,116172544
257088,2015,Action,Ericson Core,5.5,783,28718711
10214,2005,Fantasy,Lawrence Guterman,3.6,338,-84000000
205775,2015,Thriller,Ron Howard,6.5,1276,-6179242
11692,2002,Action,Ron Underwood,4.4,142,-92896027
22972,2010,War,Paul Greengrass,6.4,717,-5117111
227973,2015,Animation,Steve Martino,6.5,604,147233113
29193,1997,Crime,David Mamet,7.1,73,3835130
1734,2001,Adventure,Stephen Sommers,6.0,2206,335013274
3131,2002,Drama,Martin Scorsese,7.1,1910,93772504
76758,2011,Drama,Zhang Yimou,7.1,187,1311434
9408,2007,Animation,Ash Brannon,5.9,601,64044513
9890,2004,Action,Frank Oz,5.4,334,12000000
855,2001,Action,Ridley Scott,7.2,1811,80989651
77953,2012,Comedy,Jay Roach,5.6,578,104907746
18,1997,Adventure,Luc Besson,7.3,3885,173920180
37786,2010,Comedy,Michael Patrick King,5.4,426,188347692
10501,2000,Adventure,Don Michael Paul,7.0,858,-18567273
57800,2012,Animation,Steve Martino,6.2,2672,782244782
150689,2015,Romance,Kenneth Branagh,6.7,2374,448514353
7980,2009,Fantasy,Peter Jackson,6.6,1065,28525586
12,2003,Animation,Andrew Stanton,7.6,6122,846335536
122,2003,Adventure,Peter Jackson,8.1,8064,1024888979
121,2002,Adventure,Peter Jackson,8.0,7487,847287400
68737,2014,Adventure,Sergei Bodrov,5.2,957,19178613
1995,2001,Adventure,Simon West,5.7,2192,159703340
157353,2014,Thriller,Wally Pfister,5.9,2295,3039258
331,2001,Adventure,Joe Johnston,5.7,2077,275780809
61791,2011,Thriller,Rupert Wyatt,7.0,4347,389860185
8204,2008,Adventure,Mark Waters,6.3,572,72839667
47964,2013,Action,John Moore,5.2,3493,212654182
10733,2004,Western,John Lee Hancock,5.8,106,-119180039
9806,2004,Action,Brad Bird,7.4,5152,539442092
1408,1995,Action,Renny Harlin,5.7,136,-87982678
32657,2010,Adventure,Chris Columbus,6.0,2010,131497209
607,1997,Action,Barry Sonnenfeld,6.9,4412,499390539
863,1999,Animation,John Lasseter,7.3,3806,407366869
44048,2010,Action,Tony Scott,6.3,1165,67805466
5175,2001,Action,Brett Ratner,6.4,1054,257325802
2655,2000,Drama,Robert Zemeckis,6.3,488,55464351
22794,2009,Animation,Phil Lord,6.5,1747,142988466
8355,2009,Animation,Carlos Saldanha,6.5,2271,796686817
116745,2013,Adventure,Ben Stiller,7.0,3144,98133322
4327,2000,Action,McG,5.6,1232,172105545
1422,2006,Drama,Martin Scorsese,7.9,4339,199847354
10674,1998,Animation,Tony Bancroft,7.6,2008,214320254
7446,2008,Action,Ben Stiller,6.5,1667,96072649
65754,2011,Thriller,David Fincher,7.2,2434,142617430
1572,1995,Action,John McTiernan,6.9,2066,276101666
10528,2009,Action,Guy Ritchie,7.0,5766,434028679
271969,2016,Drama,Timur Bekmambetov,5.3,621,-5938689
10865,2001,Animation,Gary Trousdale,6.7,1224,66053725
258509,2015,Adventure,Walt Becker,5.8,428,233755553
2253,2008,Drama,Bryan Singer,6.7,1173,125276000
10661,2008,Comedy,Dennis Dugan,5.5,1048,111596308
257344,2015,Action,Chris Columbus,5.6,2513,155637091
644,2001,Drama,Steven Spielberg,6.8,1974,135926552
10756,2003,Thriller,Rob Minkoff,5.2,466,92290266
686,1997,Drama,Robert Zemeckis,7.2,1308,81120329
9383,2000,Action,Paul Verhoeven,5.6,634,95213455
179,2005,Crime,Sydney Pollack,6.2,392,82944923
76285,2013,Adventure,Thor Freudenthal,5.9,1648,84578751
1996,2003,Action,Jan de Bont,5.5,1418,61505388
291805,2016,Action,Jon M. Chu,6.7,3235,244901337
10003,1997,Thriller,Phillip Noyce,5.9,302,50063304
1535,2001,Action,Tony Scott,6.8,579,51049560
2067,2000,Science Fiction,Brian De Palma,5.7,369,-29125385
46195,2011,Animation,Carlos Saldanha,6.5,2166,394635760
2277,1999,Comedy,Chris Columbus,6.9,963,-6300000
10357,1997,Science Fiction,Mick Jackson,5.2,376,-90000000
4477,1997,Crime,Alan J. Pakula,5.9,290,50807547
8665,2002,Drama,Kathryn Bigelow,6.1,264,-64831034
9387,1982,Adventure,John Milius,6.6,650,59114085
921,2005,Romance,Ron Howard,7.3,616,20539911
49852,2010,Fantasy,Andrei Konchalovsky,5.4,50,-73821041
4464,2003,Drama,Gary Ross,6.7,216,61336445
664,1996,Action,Jan de Bont,6.1,950,402471524
8358,2000,Adventure,Robert Zemeckis,7.5,3218,339632142
9836,2006,Animation,George Miller,5.9,1410,284335608
2502,2004,Action,Paul Greengrass,7.2,2825,213500217
9772,1997,Action,Wolfgang Petersen,6.2,840,230156409
161,2001,Thriller,Steven Soderbergh,7.2,3783,365717150
52451,2011,Adventure,Paul W.S. Anderson,5.6,924,57274484
76492,2012,Animation,Genndy Tartakovsky,6.8,2566,273375603
4523,2007,Comedy,Kevin Lima,6.6,1449,255487652
59961,2012,Action,Daniel Espinosa,6.3,1345,123076205
10481,2000,Comedy,Kevin Lima,5.1,313,98611771
59108,2011,Action,Brett Ratner,5.8,932,77930623
1581,2006,Comedy,Nancy Meyers,6.7,1225,109168700
9798,1998,Action,Tony Scott,6.7,1240,160649836
22897,2009,Comedy,Nancy Meyers,6.2,360,134103655
298,2007,Crime,Steven Soderbergh,6.5,1999,226312624
7484,2006,Adventure,Jill Culton,6.1,656,112309027
157350,2014,Adventure,Neil Burger,6.9,4663,203747895
853,2001,War,Jean-Jacques Annaud,7.2,999,28976270
10159,2003,Adventure,Peter Berg,6.4,514,-4083508
9593,1993,Adventure,John McTiernan,6.1,712,52298489
1904,2005,Drama,Rob Marshall,7.3,652,77242962
9615,2006,Action,Justin Lin,6.1,1705,73468292
51052,2011,Drama,Barry Cook,6.7,333,0
297,1998,Fantasy,Martin Brest,6.9,1147,52940100
9884,2002,Action,Andrew Davis,5.5,427,-6617567
16858,1979,Drama,Bob Fosse,7.3,85,37823676
62764,2012,Adventure,Tarsem Singh,5.5,1114,98018522
22538,2010,Action,Edgar Wright,7.2,2126,-12335441
9341,2003,Action,Jon Amiel,5.4,516,14208267
12107,2000,Fantasy,Peter Segal,4.7,332,39307945
9637,2002,Mystery,Raja Gosnell,5.4,820,191650703
49049,2012,Action,Pete Travis,6.6,1940,-8962258
9339,2006,Comedy,Frank Coraci,6.0,2104,155181299
16281,1982,Horror,George A. Romero,6.7,226,13028755
39691,2010,Comedy,Brad Peyton,4.9,119,27483764
8247,2008,Adventure,Doug Liman,5.9,1799,137231186
11253,2008,Adventure,Guillermo del Toro,6.5,1527,75388063
1949,2007,Crime,David Fincher,7.3,2023,19785914
8452,2000,Science Fiction,Roger Spottiswoode,5.7,595,14085477
310,2003,Fantasy,Tom Shadyac,6.4,3012,404572835
27578,2010,Thriller,Sylvester Stallone,6.0,2926,194470394
954,1996,Adventure,Brian De Palma,6.7,2631,377696359
70160,2012,Science Fiction,Gary Ross,6.9,9455,616210692
45243,2011,Comedy,Todd Phillips,6.2,3739,174455986
364,1992,Action,Tim Burton,6.6,1673,200000000
7518,2006,Comedy,Karey Kirkpatrick,6.3,1074,263397247
11544,2002,Animation,Chris Sanders,7.1,1314,65771527
9986,2006,Comedy,Gary Winick,5.8,288,59000000
8656,1998,Action,Mimi Leder,5.9,855,65464664
146216,2013,Action,Dean Parisot,6.4,1526,-84000000
9291,2005,Comedy,Peter Segal,6.2,785,108320568
55301,2011,Comedy,Mike Mitchell,5.4,484,267695435
109418,2013,Comedy,Dennis Dugan,5.8,1155,166984278
11665,2008,Action,Peter Segal,6.0,1051,150685453
6964,2003,Drama,Nancy Meyers,6.3,410,186728738
11324,2010,Drama,Martin Scorsese,7.8,6336,214804195
12193,2008,Comedy,Seth Gordon,5.3,331,83733697
9928,2005,Animation,Chris Wedge,6.0,1333,185696994
754,1997,Action,John Woo,6.8,1583,165676146
10202,2008,Fantasy,Adam Shankman,5.9,901,132874442
4147,2002,Thriller,Sam Mendes,7.3,1077,101001478
50546,2011,Romance,Dennis Dugan,6.3,1543,134918407
1701,1997,Action,Simon West,6.5,1270,149012234
13027,2008,Mystery,D.J. Caruso,6.3,1018,98066569
2289,2003,Drama,Anthony Minghella,6.7,533,94013509
20504,2010,Action,Albert Hughes,6.6,2164,77107755
9574,1997,Comedy,Les Mayfield,5.3,695,97977226
11618,1999,Horror,Jan de Bont,5.2,369,11188905
2300,1996,Animation,Joe Pytka,6.5,1288,170200000
12096,2006,Action,Shawn Levy,5.6,550,0
10200,2008,Drama,Scott Derrickson,5.2,1043,153093859
8834,1997,Action,Richard Donner,6.5,431,61982834
228150,2014,War,David Ayer,7.4,3946,143817906
6068,1998,Action,Ivan Reitman,5.6,332,94000000
41515,2010,Comedy,Eric Brevig,5.2,220,121584141
9023,2002,Western,Kelly Asbury,7.4,831,42563539
38317,2011,Comedy,Frank Coraci,5.3,498,89852759
2157,1998,Adventure,Stephen Hopkins,5.0,388,56159423
14462,2004,Drama,Jonathan Demme,6.2,393,16105964
161795,1998,Romance,Henry Jaglom,8.0,1,0
159824,2015,Animation,Genndy Tartakovsky,6.7,1497,393226958
49948,1999,Animation,James Algar,7.0,292,10874570
2135,2002,Science Fiction,Simon Wells,5.8,631,43729176
9822,1998,Action,Ron Underwood,5.9,208,-90000000
9705,2001,Action,Dominic Sena,6.1,932,45080413
1656,2005,Action,Martin Campbell,5.9,893,67400065
12159,1998,Drama,Vincent Ward,6.8,577,-13514957
9678,2000,Comedy,Steven Brill,5.2,438,-85000000
4442,2005,Adventure,Terry Gilliam,5.6,818,17316267
75,1996,Comedy,Tim Burton,6.1,1509,31371017
330770,2015,Mystery,Lucile Hadzihalilovic,6.4,47,0
9433,1997,Action,Lee Tamahori,6.7,349,43312294
19959,2009,Action,Jonathan Mostow,5.9,1195,42444772
11973,2000,Drama,Roger Donaldson,6.9,189,-45433254
